,payment_sequential,payment_type,payment_installments,payment_value
155,1,boleto,1,45.46
156,1,boleto,1,26.08
157,1,credit_card,1,375.74
158,1,credit_card,5,123.41
159,1,credit_card,10,379.07
160,1,credit_card,10,2027.16
161,1,credit_card,1,45.5
162,1,credit_card,1,91.17
163,1,boleto,1,93.26
164,2,voucher,1,30.0
165,1,credit_card,10,165.96
166,2,voucher,1,50.0
167,1,credit_card,10,1002.73
168,1,boleto,1,116.56
169,1,credit_card,2,240.52
170,1,credit_card,3,33.13
171,1,credit_card,1,213.9
172,1,credit_card,8,362.17
173,1,credit_card,2,88.72
174,1,credit_card,2,46.85
175,1,boleto,1,68.54
176,1,boleto,1,32.62
177,1,credit_card,8,340.08
178,1,boleto,1,82.06
179,1,credit_card,1,40.95
180,1,credit_card,3,67.01
181,5,voucher,1,20.0
182,2,voucher,1,76.9
183,1,credit_card,4,40.27
184,1,credit_card,8,242.1
185,1,boleto,1,207.24
186,1,credit_card,2,215.56
187,1,credit_card,1,39.92
188,1,credit_card,8,156.09
189,1,credit_card,2,131.5
190,1,boleto,1,137.73
191,1,credit_card,1,31.75
192,1,credit_card,8,348.77
193,1,credit_card,1,12.22
194,1,credit_card,4,139.87
195,1,credit_card,12,257.1
196,1,credit_card,3,269.46
197,1,credit_card,1,40.0
198,1,credit_card,10,350.09
199,2,credit_card,6,134.55
200,1,credit_card,3,112.73
201,1,boleto,1,72.05
202,1,credit_card,1,0.67
203,1,credit_card,2,77.77
204,1,credit_card,2,26.68
205,1,credit_card,1,371.42
206,1,credit_card,6,225.71
207,1,credit_card,3,103.79
208,1,boleto,1,65.0
209,2,voucher,1,69.8
210,2,voucher,1,20.09
211,1,credit_card,1,125.41
212,1,boleto,1,95.99
213,1,credit_card,2,25.33
214,1,credit_card,1,52.57
215,1,credit_card,2,145.58
216,1,credit_card,3,49.7
217,1,credit_card,1,47.43
218,1,credit_card,2,168.57
219,1,credit_card,1,133.81
220,2,voucher,1,1.23
221,1,boleto,1,123.82
222,1,credit_card,3,283.66
223,1,credit_card,1,89.88
224,1,boleto,1,32.38
225,1,credit_card,1,43.08
226,1,credit_card,1,254.58
227,2,voucher,1,48.91
228,1,credit_card,4,48.22
229,1,credit_card,6,67.58
230,1,credit_card,10,311.18
231,1,credit_card,4,154.14
232,1,credit_card,2,333.68
233,1,boleto,1,404.88
234,1,boleto,1,44.77
235,1,voucher,1,1302.42
236,1,credit_card,10,645.8
237,1,credit_card,1,186.39
238,1,credit_card,10,208.41
239,1,debit_card,1,76.39
240,1,credit_card,2,67.42
241,1,credit_card,4,232.05
242,1,boleto,1,69.33
243,1,credit_card,3,641.2
244,1,boleto,1,41.86
245,1,voucher,1,50.0
246,1,credit_card,1,106.96
247,1,credit_card,10,2288.31
248,1,boleto,1,69.9
249,1,boleto,1,88.08
250,1,credit_card,4,117.39
251,1,debit_card,1,194.91
252,1,debit_card,1,68.89
253,1,credit_card,2,151.51
254,1,credit_card,1,54.85
255,1,credit_card,1,103.68
256,1,debit_card,1,225.63
257,1,boleto,1,39.6
258,1,credit_card,10,159.18
259,1,credit_card,1,234.43
260,1,boleto,1,44.83
261,1,credit_card,4,205.44
262,1,credit_card,1,13.55
263,1,credit_card,1,221.96
264,1,credit_card,1,52.38
265,1,credit_card,9,131.47
266,1,credit_card,2,38.06
267,2,voucher,1,35.0
268,1,credit_card,3,143.65
269,1,credit_card,3,86.73
270,1,credit_card,5,118.35
271,1,credit_card,1,341.58
272,1,credit_card,2,105.42
273,1,credit_card,4,68.16
274,1,credit_card,10,357.97
275,3,voucher,1,2.99
276,1,boleto,1,92.57
277,1,credit_card,2,68.35
278,1,credit_card,13,197.23
279,1,credit_card,3,153.67
280,1,credit_card,3,46.43
281,1,credit_card,4,102.03
282,1,credit_card,5,119.45
283,1,credit_card,1,44.23
284,1,credit_card,1,67.5
285,5,voucher,1,8.75
286,1,credit_card,2,44.27
287,1,credit_card,1,37.15
288,1,credit_card,2,114.13
289,1,credit_card,1,396.97
290,1,credit_card,10,185.85
291,1,credit_card,3,62.11
292,1,credit_card,2,25.23
293,1,credit_card,5,153.22
294,1,debit_card,1,145.01
295,1,boleto,1,70.89
296,1,credit_card,6,114.34
297,1,credit_card,2,31.38
298,1,credit_card,5,256.5
299,1,boleto,1,341.4
300,1,credit_card,1,143.99
301,1,voucher,1,84.88
302,1,credit_card,8,232.27
303,1,credit_card,5,194.0
304,1,credit_card,1,260.57
305,1,credit_card,1,49.59
306,1,credit_card,3,196.55
307,1,boleto,1,245.94
308,2,voucher,1,72.42
309,1,credit_card,2,217.15
310,1,credit_card,4,152.28
311,1,credit_card,3,72.34
312,1,credit_card,5,128.95
313,1,credit_card,1,56.85
314,1,credit_card,1,20.29
315,1,boleto,1,171.75
316,1,credit_card,1,85.82
317,1,boleto,1,56.05
318,1,boleto,1,26.09
319,1,credit_card,1,41.17
320,1,boleto,1,37.25
321,1,credit_card,5,135.13
322,1,credit_card,5,477.45
323,1,credit_card,2,440.12
324,1,credit_card,1,67.7
325,1,boleto,1,168.51
326,1,boleto,1,31.86
327,1,boleto,1,40.87
328,1,credit_card,10,109.59
329,1,credit_card,3,206.87
330,1,credit_card,1,134.38
331,1,credit_card,1,56.06
332,1,credit_card,3,264.08
333,1,credit_card,10,240.77
334,1,credit_card,2,91.72
335,1,credit_card,4,49.01
336,1,boleto,1,107.87
337,1,credit_card,3,62.01
338,1,credit_card,1,36.69
339,1,credit_card,3,35.0
340,1,credit_card,8,256.37
341,1,credit_card,1,47.84
342,1,credit_card,5,125.87
343,1,credit_card,1,42.39
344,1,credit_card,5,117.53
345,1,credit_card,1,43.28
346,1,credit_card,4,144.54
347,1,boleto,1,126.48
348,1,credit_card,4,125.29
349,1,credit_card,2,229.74
350,1,credit_card,1,124.6
351,1,boleto,1,143.86
352,1,voucher,1,56.89
353,1,boleto,1,46.78
354,8,voucher,1,3.98
355,1,credit_card,3,72.66
356,1,boleto,1,50.1
357,1,boleto,1,85.79
358,1,boleto,1,63.7
359,1,credit_card,10,1586.47
360,1,credit_card,3,433.07
361,1,credit_card,10,642.02
362,1,credit_card,4,263.95
363,1,boleto,1,134.99
364,1,credit_card,1,57.89
365,1,credit_card,1,383.99
366,1,boleto,1,159.31
367,1,credit_card,1,756.91
368,1,credit_card,7,156.22
369,1,credit_card,10,132.95
370,1,boleto,1,48.27
371,1,credit_card,5,107.35
372,1,credit_card,10,110.2
373,1,credit_card,8,368.92
374,1,boleto,1,106.85
375,1,credit_card,8,281.5
376,1,credit_card,2,54.25
377,1,credit_card,5,121.78
378,1,credit_card,2,102.26
379,1,boleto,1,90.62
380,1,boleto,1,75.69
381,1,debit_card,1,42.86
382,1,credit_card,1,35.7
383,1,credit_card,10,444.25
384,1,credit_card,1,69.16
385,2,voucher,1,30.0
386,1,credit_card,2,65.71
387,1,credit_card,1,29.29
388,1,credit_card,1,37.74
389,2,voucher,1,30.0
390,1,credit_card,2,145.9
391,1,credit_card,1,79.88
392,1,credit_card,5,108.0
393,1,credit_card,6,348.74
394,1,credit_card,6,88.78
395,1,credit_card,4,953.71
396,1,credit_card,6,125.77
397,1,credit_card,3,64.05
398,1,boleto,1,127.69
399,1,credit_card,1,62.42
400,1,credit_card,5,55.69
401,1,credit_card,7,146.13
402,1,credit_card,5,349.99
403,1,credit_card,1,91.28
404,1,boleto,1,108.64
405,1,credit_card,2,158.98
406,1,credit_card,1,20.75
407,1,boleto,1,72.9
408,1,credit_card,3,543.83
409,1,credit_card,2,67.12
410,1,credit_card,6,139.07
411,1,boleto,1,126.68
412,1,credit_card,1,41.42
413,1,boleto,1,203.16
414,1,credit_card,8,540.02
415,1,boleto,1,368.6
416,1,credit_card,4,107.78
417,1,credit_card,10,387.27
418,1,credit_card,10,107.23
419,1,credit_card,2,101.25
420,1,credit_card,1,26.09
421,1,boleto,1,244.35
422,1,credit_card,10,117.85
423,1,credit_card,3,171.32
424,1,credit_card,10,202.44
425,1,boleto,1,73.03
426,1,credit_card,4,264.67
427,1,credit_card,1,68.7
428,1,boleto,1,55.13
429,1,credit_card,2,92.99
430,1,credit_card,3,36.0
431,1,credit_card,1,17.87
432,1,credit_card,1,58.38
433,2,voucher,1,50.0
434,1,credit_card,10,1995.69
435,1,credit_card,3,130.14
436,1,boleto,1,710.23
437,1,credit_card,1,68.0
438,1,credit_card,5,59.51
439,1,credit_card,5,371.94
440,1,credit_card,10,667.99
441,1,credit_card,1,63.89
442,1,credit_card,4,49.34
443,1,boleto,1,147.0
444,1,credit_card,1,354.64
445,1,credit_card,4,59.71
446,1,credit_card,8,408.66
447,1,credit_card,5,51.66
448,1,credit_card,2,386.46
449,1,credit_card,2,69.54
450,1,credit_card,1,21.94
451,1,credit_card,1,52.34
452,1,credit_card,1,114.25
453,1,credit_card,2,162.83
454,1,credit_card,1,172.92
455,1,credit_card,7,81.72
456,1,credit_card,2,151.79
457,1,credit_card,4,243.62
458,1,boleto,1,56.42
459,1,credit_card,4,45.13
460,1,boleto,1,108.64
461,1,credit_card,4,64.51
462,1,credit_card,8,193.5
463,1,boleto,1,110.63
464,1,credit_card,5,200.55
465,1,credit_card,1,41.71
466,1,credit_card,1,54.43
467,1,credit_card,3,77.64
468,1,boleto,1,280.08
469,1,credit_card,5,101.34
470,1,credit_card,1,77.57
471,1,credit_card,4,60.2
472,1,boleto,1,48.1
473,1,boleto,1,76.02
474,1,credit_card,2,84.56
475,2,voucher,1,20.0
476,1,credit_card,4,48.16
477,1,debit_card,1,265.41
478,1,credit_card,5,127.53
479,1,credit_card,2,128.73
480,1,credit_card,3,37.37
481,1,credit_card,5,150.15
482,1,credit_card,2,36.16
483,1,credit_card,4,198.0
484,1,credit_card,5,112.4
485,1,credit_card,1,35.4
486,1,credit_card,6,189.98
487,1,credit_card,2,228.6
488,1,credit_card,8,314.21
489,1,credit_card,1,22.29
490,1,credit_card,8,257.3
491,1,credit_card,6,162.99
492,1,boleto,1,51.03
493,1,credit_card,12,190.09
494,1,credit_card,7,374.24
495,1,credit_card,5,53.15
496,1,credit_card,2,88.2
497,2,voucher,1,25.9
498,1,credit_card,1,46.81
499,1,boleto,1,131.47
500,1,credit_card,3,258.71
501,1,credit_card,1,84.23
502,1,credit_card,10,156.73
503,1,boleto,1,69.9
504,1,boleto,1,48.13
505,1,credit_card,6,187.15
506,1,credit_card,3,69.99
507,2,voucher,1,25.0
508,1,credit_card,2,162.1
509,1,credit_card,1,57.11
510,1,credit_card,1,154.87
511,1,credit_card,4,236.81
512,1,credit_card,1,102.53
513,1,credit_card,3,65.1
514,1,boleto,1,93.64
515,1,boleto,1,64.09
516,1,credit_card,5,279.4
517,1,credit_card,5,205.43
518,1,credit_card,4,89.57
519,1,boleto,1,75.07
520,1,credit_card,4,63.23
521,1,credit_card,1,0.52
522,1,credit_card,10,231.27
523,1,boleto,1,41.69
524,1,credit_card,4,69.41
525,1,credit_card,1,72.75
526,1,credit_card,2,24.29
527,1,credit_card,5,88.49
528,1,credit_card,7,71.66
529,1,credit_card,2,80.81
530,1,credit_card,2,132.82
531,1,credit_card,7,394.07
532,1,credit_card,2,165.5
533,1,credit_card,2,98.47
534,1,credit_card,2,49.77
535,1,credit_card,8,180.91
536,1,credit_card,4,40.63
537,1,debit_card,1,71.63
538,1,credit_card,5,262.94
539,1,credit_card,3,62.22
540,1,credit_card,5,311.57
541,1,debit_card,1,93.22
542,1,boleto,1,100.21
543,1,credit_card,4,125.43
544,1,boleto,1,80.55
545,1,credit_card,2,373.44
546,1,credit_card,3,62.31
547,1,debit_card,1,36.35
548,1,credit_card,2,29.38
549,1,credit_card,10,102.47
550,1,credit_card,3,130.0
551,1,credit_card,5,69.13
552,1,credit_card,1,86.24
553,1,credit_card,1,74.29
554,1,credit_card,7,70.72
555,1,credit_card,3,199.0
556,1,credit_card,3,340.47
557,1,credit_card,4,48.74
558,1,credit_card,2,28.08
559,1,voucher,1,59.9
560,1,credit_card,1,166.29
561,1,boleto,1,51.1
562,1,credit_card,1,67.83
563,1,credit_card,3,164.35
564,1,boleto,1,79.09
565,1,boleto,1,93.69
566,1,credit_card,2,59.82
567,1,credit_card,3,159.03
568,1,credit_card,9,92.57
569,1,credit_card,4,42.77
570,1,credit_card,8,453.74
571,1,credit_card,3,234.08
572,1,credit_card,2,67.62
573,1,credit_card,1,19.33
574,1,credit_card,3,143.18
575,1,credit_card,4,112.83
576,1,boleto,1,85.92
577,1,credit_card,4,102.05
578,1,credit_card,3,134.12
579,1,credit_card,1,112.13
580,1,credit_card,1,70.75
581,1,credit_card,7,77.6
582,1,credit_card,1,197.04
583,1,credit_card,1,93.18
584,1,boleto,1,44.72
585,1,credit_card,1,26.38
586,1,debit_card,1,149.14
587,1,credit_card,4,106.32
588,1,credit_card,8,246.96
589,1,credit_card,1,22.29
590,1,credit_card,3,57.48
591,1,credit_card,4,105.28
592,1,credit_card,8,203.54
593,1,credit_card,2,330.4
594,1,boleto,1,108.68
595,1,boleto,1,415.93
596,1,credit_card,10,314.21
597,1,credit_card,1,206.08
598,1,credit_card,1,27.7
599,1,boleto,1,19.48
600,1,credit_card,2,121.09
601,1,credit_card,1,206.76
602,1,credit_card,1,142.21
603,1,boleto,1,73.34
604,1,credit_card,1,72.62
605,1,credit_card,1,86.24
606,1,boleto,1,230.1
607,1,boleto,1,206.14
608,1,boleto,1,212.73
609,1,credit_card,1,94.82
610,1,boleto,1,126.44
611,2,voucher,1,140.08
612,1,credit_card,1,68.87
613,1,credit_card,2,87.58
614,1,credit_card,10,305.19
615,1,credit_card,5,161.88
616,1,debit_card,1,88.08
617,1,credit_card,3,92.5
618,1,credit_card,1,43.0
619,1,credit_card,2,116.36
620,1,boleto,1,64.48
621,1,boleto,1,37.69
622,1,credit_card,2,150.52
623,1,credit_card,6,314.3
624,1,credit_card,8,396.35
625,2,debit_card,1,98.33
626,1,credit_card,1,120.92
627,1,credit_card,1,76.17
628,1,credit_card,1,104.43
629,1,credit_card,1,105.94
630,1,credit_card,3,110.04
631,1,boleto,1,730.95
632,1,credit_card,4,128.77
633,1,credit_card,8,82.1
634,1,boleto,1,53.39
635,1,credit_card,3,61.79
636,1,boleto,1,86.83
637,1,credit_card,1,45.3
638,1,credit_card,1,25.5
639,2,voucher,1,103.79
640,1,credit_card,6,114.28
641,1,credit_card,2,57.78
642,1,credit_card,1,124.15
643,1,credit_card,3,64.1
644,1,credit_card,10,179.92
645,1,boleto,1,40.01
646,1,credit_card,5,104.27
647,1,credit_card,8,307.96
648,1,credit_card,2,31.29
649,1,credit_card,1,38.13
650,1,voucher,1,52.01
651,1,credit_card,1,35.05
652,1,credit_card,8,186.49
653,1,credit_card,4,99.95
654,1,credit_card,4,215.62
655,1,credit_card,3,206.2
656,1,boleto,1,55.06
657,1,credit_card,1,21.04
658,1,credit_card,1,26.45
659,1,credit_card,1,127.53
660,1,credit_card,10,223.14
661,1,credit_card,2,56.41
662,1,boleto,1,566.63
663,1,credit_card,2,39.41
664,1,credit_card,6,148.64
665,1,credit_card,4,64.0
666,1,credit_card,3,151.09
667,1,boleto,1,93.91
668,1,credit_card,2,71.14
669,1,credit_card,3,188.06
670,1,credit_card,2,257.21
671,1,credit_card,4,692.94
672,1,credit_card,8,181.1
673,1,boleto,1,202.26
674,1,credit_card,3,164.15
675,1,credit_card,10,137.13
676,1,credit_card,1,2.01
677,1,boleto,1,272.58
678,1,credit_card,4,87.36
679,5,voucher,1,16.54
680,1,credit_card,4,234.19
681,1,boleto,1,86.37
682,1,boleto,1,33.0
683,1,credit_card,1,10.89
684,1,credit_card,4,84.14
685,1,boleto,1,43.28
686,1,credit_card,1,47.95
687,1,boleto,1,76.08
688,1,boleto,1,104.37
689,1,credit_card,1,69.61
690,1,credit_card,3,121.09
691,1,credit_card,7,238.65
692,1,credit_card,4,181.59
693,1,credit_card,2,135.26
694,1,credit_card,3,51.09
695,1,credit_card,3,1783.44
696,1,credit_card,3,145.01
697,1,credit_card,10,231.27
698,1,boleto,1,70.03
699,1,credit_card,10,1432.92
700,1,voucher,1,45.24
701,2,voucher,1,50.0
702,1,credit_card,1,64.01
703,1,credit_card,6,148.18
704,1,credit_card,1,171.53
705,1,credit_card,3,86.15
706,1,debit_card,1,22.79
707,1,credit_card,2,58.16
708,1,boleto,1,149.42
709,1,credit_card,1,44.53
710,1,credit_card,2,152.82
711,1,credit_card,8,82.92
712,1,boleto,1,66.69
713,1,boleto,1,52.75
714,1,credit_card,5,105.94
715,1,credit_card,8,413.31
716,1,credit_card,3,112.09
717,1,credit_card,4,186.36
718,1,credit_card,3,165.22
719,1,credit_card,3,49.02
720,1,debit_card,1,173.68
721,1,credit_card,2,205.07
722,1,credit_card,1,21.04
723,1,credit_card,2,132.68
724,1,credit_card,1,36.09
725,1,boleto,1,66.44
726,1,boleto,1,161.62
727,1,credit_card,1,27.75
728,1,credit_card,1,91.28
729,2,voucher,1,81.93
730,1,credit_card,2,167.92
731,1,credit_card,1,61.36
732,1,credit_card,2,60.0
733,1,credit_card,3,39.01
734,1,credit_card,3,39.78
735,1,credit_card,2,64.23
736,1,credit_card,4,186.92
737,1,credit_card,2,43.29
738,1,credit_card,1,59.13
739,1,credit_card,3,33.51
740,1,debit_card,1,33.1
741,1,voucher,1,148.06
742,1,credit_card,2,189.56
743,1,credit_card,5,105.38
744,1,boleto,1,69.06
745,1,voucher,1,85.24
746,1,credit_card,5,179.46
747,1,credit_card,1,168.35
748,2,voucher,1,100.0
749,1,credit_card,1,77.89
750,1,credit_card,1,99.43
751,1,credit_card,1,407.9
752,3,voucher,1,15.0
753,1,credit_card,2,424.04
754,1,credit_card,3,157.2
755,1,credit_card,4,162.03
756,1,credit_card,8,188.5
757,1,credit_card,1,65.47
758,1,credit_card,1,39.42
759,1,credit_card,5,365.32
760,1,credit_card,6,65.11
761,1,credit_card,10,188.34
762,1,boleto,1,35.4
763,1,credit_card,10,590.72
764,1,boleto,1,36.75
765,1,credit_card,2,81.73
766,1,credit_card,1,17.86
767,1,boleto,1,108.97
768,1,credit_card,10,569.66
769,1,credit_card,4,48.13
770,1,credit_card,2,63.1
771,1,boleto,1,39.42
772,1,boleto,1,74.03
773,1,boleto,1,66.78
774,1,credit_card,1,36.59
775,1,credit_card,5,272.64
776,1,credit_card,1,64.34
777,1,boleto,1,49.05
778,1,credit_card,7,163.69
779,1,credit_card,6,443.85
780,1,credit_card,6,165.31
781,1,credit_card,10,1180.51
782,1,credit_card,1,706.84
783,2,voucher,1,20.0
784,1,credit_card,1,135.97
785,1,credit_card,1,56.99
786,1,credit_card,1,43.58
787,1,credit_card,4,48.15
788,1,credit_card,1,76.87
789,1,credit_card,1,2.78
790,1,credit_card,2,123.59
791,1,boleto,1,128.07
792,1,credit_card,2,185.84
793,1,credit_card,1,85.81
794,1,credit_card,1,149.54
795,1,credit_card,1,32.38
796,1,credit_card,1,23.38
797,1,credit_card,1,98.86
798,1,credit_card,8,124.21
799,1,credit_card,6,191.58
800,1,credit_card,2,123.04
801,1,credit_card,1,26.38
802,1,credit_card,2,71.49
803,1,credit_card,1,153.98
804,1,credit_card,1,55.91
805,1,credit_card,6,86.06
806,1,credit_card,1,33.1
807,1,credit_card,10,360.29
808,1,credit_card,10,105.24
809,1,credit_card,3,114.85
810,2,voucher,1,0.01
811,1,credit_card,1,65.57
812,1,credit_card,3,88.9
813,1,credit_card,1,76.78
814,1,credit_card,10,680.96
815,5,voucher,1,27.91
816,1,credit_card,2,61.79
817,1,credit_card,1,40.96
818,1,credit_card,2,149.0
819,1,credit_card,7,75.7
820,1,credit_card,4,356.9
821,1,credit_card,2,165.96
822,1,credit_card,2,61.19
823,1,credit_card,1,43.37
824,1,credit_card,2,40.86
825,1,credit_card,1,84.81
826,4,voucher,1,8.24
827,1,credit_card,3,191.93
828,1,credit_card,1,32.72
829,1,boleto,1,32.77
830,1,credit_card,5,50.5
831,1,credit_card,3,37.05
832,1,credit_card,1,70.36
833,1,credit_card,1,38.0
834,1,boleto,1,196.81
835,1,boleto,1,46.84
836,1,credit_card,10,367.2
837,1,credit_card,4,195.36
838,1,credit_card,7,144.8
839,1,boleto,1,28.62
840,1,boleto,1,160.74
841,2,voucher,1,103.59
842,1,credit_card,1,10.39
843,1,credit_card,1,31.75
844,1,credit_card,5,116.23
845,1,credit_card,4,40.43
846,1,boleto,1,66.64
847,1,voucher,1,17.01
848,1,boleto,1,189.96
849,1,boleto,1,170.37
850,1,credit_card,2,50.9
851,1,credit_card,1,133.64
852,1,boleto,1,543.29
853,1,credit_card,2,42.75
854,1,credit_card,2,161.01
855,1,boleto,1,72.83
856,1,boleto,1,1605.14
857,1,boleto,1,130.6
858,1,credit_card,1,69.67
859,1,credit_card,2,70.97
860,1,credit_card,10,255.76
861,1,credit_card,4,75.4
862,1,credit_card,3,109.93
863,1,credit_card,1,71.14
864,1,credit_card,3,113.33
865,1,credit_card,1,292.86
866,1,credit_card,2,129.15
867,1,credit_card,7,177.67
868,1,credit_card,1,27.48
869,1,credit_card,1,140.94
870,1,boleto,1,23.0
871,1,credit_card,1,49.09
872,1,credit_card,1,84.79
873,1,boleto,1,111.02
874,1,credit_card,1,42.44
875,1,credit_card,1,210.56
876,1,credit_card,4,42.74
877,1,boleto,1,50.1
878,1,credit_card,1,67.23
879,1,credit_card,4,46.66
880,1,credit_card,1,201.05
881,1,credit_card,4,81.47
882,1,boleto,1,79.69
883,1,credit_card,4,45.12
884,1,boleto,1,250.04
885,1,credit_card,7,108.88
886,1,credit_card,1,189.66
887,1,credit_card,3,135.47
888,1,boleto,1,104.07
889,1,credit_card,3,184.08
890,1,boleto,1,164.01
891,1,credit_card,3,91.21
892,1,credit_card,7,129.0
893,1,credit_card,2,84.28
894,1,credit_card,1,57.67
895,1,credit_card,3,97.79
896,1,debit_card,1,53.9
897,1,boleto,1,35.09
898,1,boleto,1,218.04
899,1,boleto,1,67.93
900,1,boleto,1,40.53
901,1,credit_card,6,97.23
902,1,credit_card,6,159.39
903,1,boleto,1,167.07
904,2,voucher,1,50.0
905,1,credit_card,2,93.4
906,1,credit_card,4,276.11
907,1,credit_card,3,149.16
908,1,credit_card,2,175.13
909,1,credit_card,1,143.99
910,1,boleto,1,131.8
911,1,boleto,1,88.54
912,1,credit_card,1,109.31
913,1,boleto,1,63.05
914,1,credit_card,8,353.29
915,1,credit_card,3,276.44
916,1,boleto,1,45.95
917,1,credit_card,2,116.99
918,1,boleto,1,46.0
919,2,voucher,1,23.23
920,1,credit_card,1,119.18
921,1,boleto,1,32.13
922,1,credit_card,5,222.15
923,1,boleto,1,59.22
924,1,boleto,1,204.81
925,1,credit_card,2,73.34
926,1,credit_card,1,131.03
927,1,credit_card,3,57.69
928,1,credit_card,1,27.79
929,1,boleto,1,224.45
930,1,credit_card,1,135.6
931,1,credit_card,7,76.08
932,1,credit_card,1,67.14
933,1,boleto,1,137.97
934,1,boleto,1,68.12
935,1,credit_card,3,73.61
936,1,credit_card,3,117.94
937,1,credit_card,3,84.52
938,1,credit_card,8,138.84
939,1,credit_card,1,5.37
940,1,credit_card,4,119.48
941,1,credit_card,1,77.5
942,1,boleto,1,84.05
943,1,boleto,1,149.73
