,order_status,order_item_id,price,freight_value,final_price
85,delivered,1,139.9,34.52,174.42
86,delivered,1,29.9,16.79,46.69
87,delivered,1,119.0,12.33,131.33
88,delivered,1,299.0,15.21,314.21
89,delivered,1,27.3,15.1,42.4
90,delivered,1,58.99,17.66,76.65
91,delivered,1,14.5,10.96,25.46
92,delivered,1,699.9,22.15,722.05
93,delivered,1,79.0,9.37,88.37
94,delivered,1,380.0,33.53,413.53
95,delivered,1,70.91,13.52,84.43
96,delivered,1,69.9,26.11,96.01
97,delivered,1,24.9,11.85,36.75
98,delivered,1,168.9,24.05,192.95
99,delivered,1,299.9,19.98,319.88
100,delivered,1,79.99,8.91,88.9
101,delivered,1,34.5,8.72,43.22
102,delivered,1,91.99,6.75,98.74
103,delivered,2,91.99,13.5,105.49
104,delivered,3,91.99,13.5,105.49
105,delivered,1,108.9,11.78,120.68
106,delivered,1,108.9,28.14,137.04
107,delivered,1,299.0,23.17,322.17
108,delivered,1,179.9,24.55,204.45
109,delivered,1,32.64,15.1,47.74
110,delivered,1,35.9,17.92,53.82
111,delivered,1,179.9,16.02,195.92
112,delivered,1,179.0,9.41,188.41
113,delivered,1,159.9,37.05,196.95
114,delivered,1,89.18,16.38,105.56
115,delivered,1,37.99,12.69,50.68
116,delivered,1,69.9,20.98,90.88
117,delivered,1,34.9,11.26,46.16
118,delivered,1,243.37,53.83,297.2
119,delivered,1,159.9,46.61,206.51
120,delivered,1,110.32,18.65,128.97
121,delivered,2,110.32,18.65,128.97
122,delivered,1,52.88,25.21,78.09
123,delivered,1,129.0,20.14,149.14
124,delivered,1,89.0,13.64,102.64
125,delivered,1,19.9,8.72,28.62
126,delivered,1,97.0,51.18,148.18
127,delivered,1,174.9,31.97,206.87
128,delivered,1,112.0,38.21,150.21
129,delivered,1,89.9,21.08,110.98
130,shipped,1,39.9,22.93,62.83
131,delivered,1,19.9,11.85,31.75
132,delivered,1,117.7,18.7,136.4
133,delivered,1,219.0,16.83,235.83
134,delivered,1,47.9,12.79,60.69
135,delivered,1,199.0,24.54,223.54
136,delivered,1,27.9,15.1,43.0
137,delivered,1,49.9,17.6,67.5
138,delivered,1,380.0,35.83,415.83
139,delivered,1,179.9,17.97,197.87
140,delivered,1,42.99,12.03,55.02
141,delivered,1,28.0,14.1,42.1
142,delivered,1,69.9,18.59,88.49
143,delivered,1,19.9,7.39,27.29
144,delivered,1,289.9,15.8,305.7
145,delivered,1,65.0,14.2,79.2
146,delivered,1,57.0,14.27,71.27
147,delivered,1,26.33,15.1,41.43
148,delivered,1,55.0,17.64,72.64
149,delivered,1,43.99,13.47,57.46
150,delivered,1,115.0,15.69,130.69
151,delivered,1,99.9,13.72,113.62
152,delivered,1,49.0,7.78,56.78
153,delivered,1,296.5,9.66,306.16
154,delivered,1,59.9,17.13,77.03
155,delivered,1,89.9,34.39,124.29
156,delivered,1,39.9,9.94,49.84
157,delivered,1,56.99,14.15,71.14
158,delivered,1,21.9,14.52,36.42
159,delivered,2,21.9,14.52,36.42
160,delivered,3,21.9,14.52,36.42
161,delivered,1,129.9,18.79,148.69
162,delivered,1,42.9,14.1,57.0
163,delivered,1,199.9,27.48,227.38
164,delivered,1,89.99,18.21,108.2
165,delivered,1,59.9,16.86,76.76
166,delivered,1,23.99,7.78,31.77
167,delivered,1,117.3,22.29,139.59
168,delivered,1,120.0,55.1,175.1
169,delivered,1,14.6,7.78,22.38
170,delivered,1,38.25,16.11,54.36
171,shipped,1,35.9,23.28,59.18
172,delivered,1,52.0,11.86,63.86
173,delivered,1,29.9,12.69,42.59
174,delivered,1,31.19,3.37,34.56
175,delivered,2,35.99,3.38,39.37
176,delivered,3,14.9,3.37,18.27
177,delivered,4,31.9,3.37,35.27
178,delivered,5,22.9,6.74,29.64
179,delivered,6,22.9,6.74,29.64
180,delivered,1,49.0,15.79,64.79
181,delivered,1,35.0,13.08,48.08
182,delivered,1,119.9,8.78,128.68
183,delivered,1,39.99,37.04,77.03
184,delivered,1,279.99,31.82,311.81
185,delivered,1,21.9,11.85,33.75
186,delivered,1,110.0,18.85,128.85
187,delivered,1,59.9,13.44,73.34
188,delivered,2,59.9,13.44,73.34
189,delivered,3,59.9,13.44,73.34
190,delivered,1,249.9,60.57,310.47
191,delivered,2,58.9,29.88,88.78
192,delivered,1,125.0,14.23,139.23
193,delivered,2,125.0,14.23,139.23
194,delivered,3,125.0,14.23,139.23
195,delivered,4,125.0,14.23,139.23
196,delivered,5,125.0,14.23,139.23
197,delivered,1,62.8,11.94,74.74
198,delivered,1,119.9,27.38,147.28
199,delivered,1,56.99,15.84,72.83
200,delivered,2,56.99,15.84,72.83
201,delivered,1,29.99,16.79,46.78
202,delivered,1,49.9,14.08,63.98
203,delivered,1,129.97,35.43,165.4
204,delivered,1,12.65,7.39,20.04
205,delivered,1,79.9,13.22,93.12
206,delivered,1,55.0,16.64,71.64
207,delivered,1,119.0,54.59,173.59
208,delivered,1,27.99,14.1,42.09
209,delivered,1,169.99,19.43,189.42
210,delivered,2,169.99,19.43,189.42
211,delivered,3,169.99,19.43,189.42
212,delivered,4,169.99,19.43,189.42
213,delivered,1,299.0,16.84,315.84
214,delivered,1,99.99,17.95,117.94
215,delivered,1,38.99,15.1,54.09
216,delivered,1,73.9,13.54,87.44
217,delivered,1,99.9,32.5,132.4
218,delivered,1,139.99,19.08,159.07
219,delivered,1,59.99,16.18,76.17
220,delivered,1,34.49,7.78,42.27
221,delivered,1,309.99,16.37,326.36
222,delivered,1,299.9,129.74,429.64
223,delivered,1,31.9,14.1,46.0
224,delivered,1,19.9,11.85,31.75
225,delivered,1,18.99,8.72,27.71
226,shipped,1,14.49,7.87,22.36
227,delivered,1,54.9,13.4,68.3
228,delivered,1,68.0,24.97,92.97
229,delivered,1,160.0,19.22,179.22
230,delivered,1,113.0,28.15,141.15
231,delivered,1,56.99,15.15,72.14
232,delivered,1,144.9,16.11,161.01
233,delivered,1,60.0,15.18,75.18
234,delivered,1,45.0,11.86,56.86
235,delivered,1,89.9,14.21,104.11
236,delivered,1,46.99,12.69,59.68
237,delivered,1,99.0,30.53,129.53
238,delivered,2,99.0,30.53,129.53
239,delivered,1,29.9,16.95,46.85
240,delivered,1,119.9,20.18,140.08
241,delivered,1,219.9,18.79,238.69
242,delivered,1,208.0,20.43,228.43
243,delivered,1,96.0,6.56,102.56
244,delivered,1,84.9,13.25,98.15
245,delivered,2,84.9,13.25,98.15
246,delivered,3,84.9,13.25,98.15
247,delivered,4,84.9,13.25,98.15
248,delivered,1,114.94,18.52,133.46
249,delivered,1,144.99,17.26,162.25
250,delivered,1,30.1,33.24,63.34
251,delivered,1,89.99,22.95,112.94
252,delivered,1,99.99,12.09,112.08
253,delivered,1,328.9,10.96,339.86
254,delivered,1,105.0,19.7,124.7
255,delivered,1,110.32,17.16,127.48
256,delivered,2,138.9,17.16,156.06
257,delivered,1,69.9,13.15,83.05
258,delivered,1,599.0,96.61,695.61
259,delivered,1,109.9,25.51,135.41
260,delivered,1,56.97,19.37,76.34
261,delivered,1,39.0,12.79,51.79
262,delivered,1,149.99,74.78,224.77
263,delivered,1,13.3,8.88,22.18
264,delivered,1,69.9,0.0,69.9
265,delivered,2,69.9,0.0,69.9
266,delivered,1,39.9,9.34,49.24
267,delivered,1,89.9,17.88,107.78
268,delivered,1,49.95,16.79,66.74
269,delivered,1,99.0,26.43,125.43
270,delivered,1,27.9,7.46,35.36
271,delivered,1,34.99,10.96,45.95
272,delivered,1,49.9,13.47,63.37
273,delivered,1,329.9,17.41,347.31
274,delivered,1,79.9,17.0,96.9
275,delivered,1,89.99,15.38,105.37
276,delivered,1,39.9,11.3,51.2
277,delivered,1,75.0,15.28,90.28
278,delivered,1,249.49,9.01,258.5
279,delivered,1,59.9,15.18,75.08
280,delivered,1,259.9,53.01,312.91
281,delivered,1,64.89,17.7,82.59
282,delivered,1,589.9,20.0,609.9
283,delivered,1,89.0,7.88,96.88
284,delivered,1,150.0,42.03,192.03
285,delivered,1,22.32,22.09,44.41
286,delivered,1,87.37,10.79,98.16
287,delivered,1,109.9,10.97,120.87
288,delivered,2,109.9,10.97,120.87
289,delivered,1,129.99,17.65,147.64
290,delivered,1,37.39,19.04,56.43
291,delivered,2,37.39,19.04,56.43
292,delivered,1,117.0,15.57,132.57
293,delivered,1,84.99,16.35,101.34
294,delivered,1,480.65,21.47,502.12
295,delivered,1,89.0,15.37,104.37
296,delivered,1,45.0,36.75,81.75
297,delivered,2,45.0,36.75,81.75
298,delivered,1,759.0,13.08,772.08
299,delivered,1,25.0,7.94,32.94
300,delivered,1,59.9,9.42,69.32
301,delivered,1,359.9,42.59,402.49
302,delivered,1,119.9,9.59,129.49
303,delivered,1,84.99,14.34,99.33
304,delivered,1,149.99,14.64,164.63
305,delivered,1,12.5,11.85,24.35
306,delivered,1,44.99,9.34,54.33
307,delivered,1,99.9,21.78,121.68
308,delivered,1,102.0,38.88,140.88
309,delivered,1,104.0,24.86,128.86
310,delivered,1,136.78,8.22,145.0
311,delivered,1,110.0,14.5,124.5
312,delivered,1,636.0,15.84,651.84
313,delivered,1,39.9,26.89,66.79
314,delivered,1,112.01,15.88,127.89
315,delivered,1,27.9,15.1,43.0
316,delivered,1,292.0,9.3,301.3
317,delivered,1,22.5,11.74,34.24
318,delivered,1,140.0,15.29,155.29
319,delivered,1,60.0,23.22,83.22
320,delivered,1,68.0,8.29,76.29
321,delivered,1,64.9,11.73,76.63
322,delivered,1,172.5,38.76,211.26
323,delivered,1,6.0,7.39,13.39
324,delivered,1,37.99,13.08,51.07
325,delivered,1,335.0,10.46,345.46
326,delivered,1,44.9,8.47,53.37
327,delivered,1,243.0,35.06,278.06
328,delivered,1,110.0,29.81,139.81
329,delivered,1,74.9,12.65,87.55
330,delivered,1,99.9,9.45,109.35
331,delivered,1,27.9,11.85,39.75
332,delivered,1,26.0,15.1,41.1
333,delivered,1,22.0,14.52,36.52
334,delivered,1,29.99,26.51,56.5
335,delivered,1,63.99,18.33,82.32
336,delivered,1,39.9,14.1,54.0
337,delivered,1,99.99,37.39,137.38
338,delivered,1,159.99,45.58,205.57
339,delivered,1,14.0,12.79,26.79
340,delivered,1,59.9,18.25,78.15
341,delivered,1,109.9,15.53,125.43
342,delivered,1,79.97,20.6,100.57
343,delivered,1,39.9,11.85,51.75
344,delivered,2,39.9,11.85,51.75
345,delivered,1,31.99,12.88,44.87
346,delivered,1,89.9,15.38,105.28
347,delivered,1,124.9,38.42,163.32
348,delivered,1,39.9,15.23,55.13
349,delivered,1,283.02,17.74,300.76
350,delivered,1,149.9,12.14,162.04
351,delivered,1,49.9,17.6,67.5
352,delivered,1,281.99,17.73,299.72
353,delivered,1,19.9,16.05,35.95
354,delivered,1,89.9,17.07,106.97
355,delivered,1,79.9,15.44,95.34
356,delivered,1,257.6,15.67,273.27
357,delivered,1,89.49,15.38,104.87
358,shipped,1,33.8,42.38,76.18
359,delivered,1,122.99,63.11,186.1
360,delivered,1,205.0,15.04,220.04
361,delivered,1,19.9,11.85,31.75
362,delivered,1,69.9,19.98,89.88
363,delivered,1,179.99,18.17,198.16
364,delivered,1,48.0,11.85,59.85
365,delivered,1,84.94,12.93,97.87
366,delivered,1,29.99,22.93,52.92
367,delivered,1,69.9,15.24,85.14
368,delivered,1,64.99,19.65,84.64
369,delivered,1,37.9,15.1,53.0
370,delivered,1,16.99,7.39,24.38
371,delivered,1,132.9,15.68,148.58
372,delivered,1,25.99,7.78,33.77
373,delivered,1,33.5,15.1,48.6
374,delivered,1,42.9,14.1,57.0
375,delivered,1,19.9,16.79,36.69
376,delivered,1,19.3,18.24,37.54
377,delivered,1,122.5,18.11,140.61
378,delivered,1,132.0,17.85,149.85
379,delivered,1,69.9,15.7,85.6
380,delivered,1,279.0,34.19,313.19
381,delivered,1,119.99,25.0,144.99
382,delivered,1,18.9,7.39,26.29
383,delivered,1,219.99,16.42,236.41
384,delivered,1,36.0,12.91,48.91
385,delivered,1,94.98,21.15,116.13
386,delivered,1,64.9,7.78,72.68
387,delivered,1,109.9,12.47,122.37
388,delivered,1,19.9,14.1,34.0
389,delivered,1,127.5,11.91,139.41
390,delivered,1,388.0,25.59,413.59
391,delivered,1,39.9,24.84,64.74
392,delivered,1,46.9,13.23,60.13
393,shipped,1,245.9,16.47,262.37
394,delivered,1,49.99,13.47,63.46
395,delivered,1,249.9,69.21,319.11
396,shipped,1,36.9,26.89,63.79
397,delivered,1,195.9,19.25,215.15
398,delivered,1,159.99,57.79,217.78
399,delivered,1,149.9,12.14,162.04
400,delivered,1,179.9,15.01,194.91
401,delivered,2,179.9,15.01,194.91
402,delivered,1,45.0,7.39,52.39
403,delivered,2,45.0,7.39,52.39
404,delivered,3,45.0,7.39,52.39
405,delivered,4,45.0,7.39,52.39
406,delivered,5,45.0,7.39,52.39
407,delivered,6,45.0,7.39,52.39
408,delivered,1,18.9,16.79,35.69
409,delivered,1,899.99,21.05,921.04
410,delivered,1,535.9,18.5,554.4
411,delivered,1,109.9,13.43,123.33
412,delivered,1,38.4,11.85,50.25
413,delivered,1,82.0,16.82,98.82
414,delivered,1,17.9,10.96,28.86
415,delivered,1,72.5,9.26,81.76
416,delivered,2,72.5,9.26,81.76
417,delivered,1,189.9,26.36,216.26
418,delivered,1,28.0,25.34,53.34
419,delivered,2,47.99,25.34,73.33
420,delivered,1,27.99,15.79,43.78
421,delivered,1,39.0,12.79,51.79
422,delivered,1,69.9,25.77,95.67
423,delivered,1,36.9,12.79,49.69
424,delivered,1,179.49,9.45,188.94
425,delivered,1,544.0,30.36,574.36
426,delivered,1,204.0,18.68,222.68
427,delivered,1,39.9,14.1,54.0
428,delivered,1,31.9,42.38,74.28
429,delivered,1,59.99,15.72,75.71
430,delivered,1,24.89,15.1,39.99
431,delivered,1,155.99,14.11,170.1
432,delivered,1,25.0,13.47,38.47
433,delivered,1,38.25,16.11,54.36
434,delivered,1,69.0,18.58,87.58
435,delivered,1,19.99,15.1,35.09
436,delivered,1,132.0,11.94,143.94
437,delivered,1,21.9,14.1,36.0
438,delivered,1,72.0,13.52,85.52
439,delivered,1,289.0,46.48,335.48
440,delivered,1,59.9,13.44,73.34
441,delivered,1,84.9,38.14,123.04
442,delivered,1,89.9,15.38,105.28
443,delivered,1,149.9,15.81,165.71
444,delivered,1,39.9,9.09,48.99
445,delivered,1,29.99,8.11,38.1
446,delivered,1,12.88,7.87,20.75
447,delivered,1,119.9,25.68,145.58
448,delivered,1,48.32,11.15,59.47
449,delivered,1,104.9,13.07,117.97
450,delivered,1,139.0,19.94,158.94
451,delivered,1,39.9,29.55,69.45
452,delivered,1,44.99,15.23,60.22
453,delivered,1,27.9,7.46,35.36
454,delivered,1,26.9,10.96,37.86
455,delivered,1,99.9,9.45,109.35
456,delivered,1,135.0,45.45,180.45
457,delivered,1,14.39,15.1,29.49
458,delivered,1,122.99,9.06,132.05
459,delivered,1,170.0,19.34,189.34
460,delivered,1,198.0,15.56,213.56
461,delivered,1,38.5,24.84,63.34
462,delivered,1,123.47,9.02,132.49
463,delivered,1,72.0,19.19,91.19
464,delivered,1,53.99,18.26,72.25
465,delivered,1,159.0,63.13,222.13
466,delivered,1,64.99,37.14,102.13
467,delivered,1,11.5,10.96,22.46
468,delivered,1,559.0,37.27,596.27
469,delivered,1,49.99,14.1,64.09
470,delivered,1,27.9,15.1,43.0
471,delivered,1,51.0,19.6,70.6
472,delivered,1,79.9,11.76,91.66
473,delivered,1,229.0,43.8,272.8
474,delivered,1,25.9,18.23,44.13
475,delivered,2,25.9,18.23,44.13
476,delivered,1,109.0,98.02,207.02
477,delivered,1,44.9,12.69,57.59
478,delivered,1,45.0,27.08,72.08
479,delivered,2,45.0,27.08,72.08
480,delivered,3,45.0,27.08,72.08
481,delivered,4,45.0,27.08,72.08
482,delivered,5,45.0,27.08,72.08
483,delivered,1,84.9,15.35,100.25
484,delivered,1,49.9,8.72,58.62
485,delivered,1,69.99,14.58,84.57
486,delivered,1,17.9,11.85,29.75
487,delivered,1,110.0,14.16,124.16
488,delivered,1,79.99,20.05,100.04
489,delivered,1,104.9,4.39,109.29
490,delivered,2,110.32,12.53,122.85
491,delivered,1,119.99,34.2,154.19
492,delivered,1,130.0,17.16,147.16
493,delivered,1,19.9,12.8,32.7
494,delivered,1,69.9,16.46,86.36
495,delivered,1,12.9,17.63,30.53
496,delivered,1,23.9,14.52,38.42
497,delivered,1,65.9,17.2,83.1
498,delivered,1,69.9,0.0,69.9
499,delivered,1,189.9,53.46,243.36
500,delivered,1,59.9,13.44,73.34
501,delivered,1,29.99,14.1,44.09
502,delivered,1,118.9,18.93,137.83
503,delivered,1,54.99,13.6,68.59
504,delivered,1,89.9,12.13,102.03
505,delivered,2,89.9,12.13,102.03
506,delivered,1,59.0,13.07,72.07
507,delivered,2,59.0,13.07,72.07
508,delivered,1,32.0,15.1,47.1
509,delivered,1,34.9,37.15,72.05
510,delivered,1,18.0,12.79,30.79
511,delivered,1,39.9,13.76,53.66
512,delivered,1,79.9,15.31,95.21
513,delivered,1,412.0,24.7,436.7
514,delivered,1,24.9,16.79,41.69
515,delivered,1,132.2,16.03,148.23
516,delivered,1,65.0,15.2,80.2
517,delivered,1,28.0,15.11,43.11
518,delivered,1,45.95,15.1,61.05
519,delivered,1,16.5,7.78,24.28
520,delivered,1,159.0,21.95,180.95
521,delivered,1,679.0,19.85,698.85
522,delivered,1,122.99,14.61,137.6
523,delivered,1,23.9,10.96,34.86
524,delivered,1,14.82,15.1,29.92
525,delivered,1,22.99,22.85,45.84
526,delivered,2,22.99,22.85,45.84
527,delivered,1,153.0,12.57,165.57
528,delivered,1,59.9,17.67,77.57
529,delivered,2,59.9,17.67,77.57
530,delivered,1,59.99,12.76,72.75
531,delivered,2,59.99,12.76,72.75
532,delivered,1,166.99,23.49,190.48
533,delivered,1,65.99,16.71,82.7
534,delivered,1,1695.0,32.67,1727.67
535,delivered,1,320.0,18.0,338.0
536,delivered,1,49.1,18.23,67.33
537,delivered,2,49.1,18.23,67.33
538,delivered,1,359.7,17.27,376.97
539,delivered,2,359.7,17.27,376.97
540,delivered,1,49.9,12.79,62.69
541,delivered,1,178.99,19.13,198.12
542,delivered,1,799.9,28.18,828.08
543,delivered,1,29.9,16.11,46.01
544,delivered,2,29.9,16.11,46.01
545,delivered,3,29.9,16.11,46.01
546,delivered,1,19.9,9.34,29.24
547,shipped,1,53.99,15.13,69.12
548,delivered,1,129.6,25.4,155.0
549,delivered,1,129.9,16.54,146.44
550,delivered,1,69.9,19.46,89.36
551,delivered,1,109.9,25.61,135.51
552,delivered,1,359.5,33.96,393.46
553,delivered,1,126.99,29.68,156.67
554,delivered,1,73.9,12.77,86.67
555,delivered,1,394.65,24.47,419.12
556,delivered,1,89.9,8.79,98.69
557,delivered,1,59.99,8.88,68.87
558,delivered,2,59.99,8.88,68.87
559,delivered,1,189.9,17.09,206.99
560,delivered,1,1349.0,131.73,1480.73
561,delivered,1,259.9,15.29,275.19
562,delivered,1,129.9,9.66,139.56
563,delivered,1,119.0,17.37,136.37
564,delivered,1,43.0,12.96,55.96
565,delivered,1,115.52,16.57,132.09
566,delivered,1,49.99,23.5,73.49
567,delivered,1,133.0,15.68,148.68
568,delivered,1,54.99,18.26,73.25
569,delivered,1,84.9,17.84,102.74
570,delivered,1,39.99,8.72,48.71
571,delivered,1,28.0,17.78,45.78
572,delivered,1,59.99,9.74,69.73
573,delivered,1,107.9,21.56,129.46
574,delivered,1,89.99,17.88,107.87
575,delivered,1,159.0,18.36,177.36
576,delivered,1,119.9,35.0,154.9
577,delivered,1,15.9,16.79,32.69
578,delivered,1,27.9,14.52,42.42
579,delivered,1,33.9,18.34,52.24
580,delivered,1,1099.0,20.6,1119.6
581,delivered,1,27.99,7.46,35.45
582,delivered,1,69.9,13.51,83.41
583,delivered,1,84.99,15.35,100.34
584,delivered,1,179.99,51.13,231.12
585,delivered,1,199.98,12.9,212.88
586,delivered,1,24.9,13.51,38.41
587,delivered,1,16.9,15.23,32.13
588,delivered,1,24.9,16.79,41.69
589,delivered,1,29.99,25.63,55.62
590,delivered,1,135.0,25.14,160.14
591,delivered,1,49.99,8.29,58.28
592,delivered,1,119.99,16.05,136.04
593,delivered,1,50.0,16.05,66.05
594,delivered,1,419.0,36.29,455.29
595,delivered,1,199.9,17.03,216.93
596,delivered,1,50.0,15.1,65.1
597,delivered,1,119.0,58.69,177.69
598,delivered,2,119.0,58.69,177.69
599,delivered,1,259.9,34.07,293.97
600,delivered,2,259.9,34.07,293.97
601,delivered,1,139.5,14.32,153.82
602,delivered,2,139.5,14.32,153.82
603,delivered,1,299.9,24.42,324.32
604,delivered,1,1148.0,107.43,1255.43
605,delivered,1,325.0,38.96,363.96
606,delivered,1,45.0,14.1,59.1
607,delivered,1,37.99,16.11,54.1
608,delivered,1,13.65,7.39,21.04
609,delivered,1,39.99,9.74,49.73
610,delivered,1,117.3,28.2,145.5
611,delivered,1,29.99,12.69,42.68
612,delivered,1,247.88,16.19,264.07
613,delivered,1,110.99,14.17,125.16
614,delivered,1,12.88,15.1,27.98
615,delivered,1,109.9,18.65,128.55
616,delivered,1,119.9,21.16,141.06
617,delivered,1,119.0,15.71,134.71
618,delivered,1,56.99,27.25,84.24
619,delivered,1,13.65,7.78,21.43
620,delivered,1,115.0,18.06,133.06
621,delivered,1,75.0,13.08,88.08
622,delivered,1,78.0,28.95,106.95
623,delivered,1,49.9,16.54,66.44
624,delivered,2,49.9,16.54,66.44
625,delivered,1,79.98,22.87,102.85
626,delivered,1,45.0,27.2,72.2
627,delivered,1,119.6,11.45,131.05
628,delivered,1,120.0,13.28,133.28
629,delivered,1,99.0,12.4,111.4
630,delivered,1,24.5,11.85,36.35
631,delivered,1,329.9,82.48,412.38
632,delivered,2,329.9,82.48,412.38
633,delivered,1,155.0,14.3,169.3
634,delivered,1,40.8,8.29,49.09
635,delivered,1,49.99,17.06,67.05
636,delivered,1,76.49,15.3,91.79
637,delivered,1,139.0,15.73,154.73
638,delivered,1,38.2,15.1,53.3
639,delivered,1,12.5,14.1,26.6
640,delivered,2,12.5,14.1,26.6
641,delivered,1,67.0,14.55,81.55
642,delivered,1,8.99,23.51,32.5
643,delivered,2,8.99,23.51,32.5
644,delivered,3,22.9,0.78,23.68
645,delivered,4,8.99,23.51,32.5
646,delivered,5,29.95,7.84,37.79
647,delivered,1,329.99,13.51,343.5
648,delivered,1,64.9,15.2,80.1
649,delivered,1,41.9,35.48,77.38
650,delivered,1,74.9,30.47,105.37
651,delivered,2,74.9,28.43,103.33
652,delivered,1,94.5,9.58,104.08
653,delivered,1,37.99,14.52,52.51
654,delivered,1,69.9,14.66,84.56
655,delivered,1,28.9,15.1,44.0
656,delivered,1,53.99,9.13,63.12
657,delivered,1,58.99,17.66,76.65
658,delivered,1,134.9,12.43,147.33
659,delivered,1,182.0,19.42,201.42
660,delivered,1,102.9,22.43,125.33
661,delivered,1,69.99,12.62,82.61
662,delivered,2,19.9,9.41,29.31
663,delivered,1,299.0,18.34,317.34
664,delivered,1,89.49,8.39,97.88
665,delivered,1,106.9,47.8,154.7
666,delivered,1,428.0,18.51,446.51
667,delivered,1,80.9,12.7,93.6
668,delivered,2,80.9,12.7,93.6
669,delivered,1,39.99,18.44,58.43
670,delivered,1,75.0,21.02,96.02
671,delivered,1,7.0,15.79,22.79
672,delivered,1,228.0,62.26,290.26
673,delivered,2,90.0,62.26,152.26
674,delivered,1,24.99,12.84,37.83
675,delivered,1,45.0,14.1,59.1
676,delivered,1,21.0,6.25,27.25
677,delivered,2,35.0,10.42,45.42
678,delivered,3,21.0,6.25,27.25
679,delivered,4,35.0,10.42,45.42
680,delivered,5,28.0,8.34,36.34
681,delivered,6,28.0,8.34,36.34
682,delivered,1,159.99,27.2,187.19
683,delivered,1,185.0,20.26,205.26
684,delivered,1,149.65,3.14,152.79
685,delivered,2,67.9,39.29,107.19
686,delivered,1,29.9,14.52,44.42
687,delivered,1,199.0,24.26,223.26
688,delivered,1,49.1,19.53,68.63
689,delivered,1,19.9,8.72,28.62
690,delivered,1,95.0,17.92,112.92
691,delivered,1,112.94,34.87,147.81
692,delivered,1,299.99,20.0,319.99
693,delivered,1,649.51,56.68,706.19
694,delivered,1,24.9,7.39,32.29
695,delivered,2,24.9,7.39,32.29
696,delivered,1,153.0,18.57,171.57
